path,size_bytes,file_count
./dashboard/frontend/node_modules/@radix-ui/react-collection/dist,139264,6
./dashboard/frontend/node_modules/@radix-ui/react-roving-focus/dist,73728,6
./dashboard/frontend/node_modules/@radix-ui/react-collapsible/dist,53248,6
./dashboard/frontend/node_modules/@radix-ui/react-checkbox/dist,73728,6
./dashboard/frontend/node_modules/@radix-ui/primitive/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-use-controllable-state/dist,49152,6
./dashboard/frontend/node_modules/@radix-ui/react-toolbar/dist,53248,6
./dashboard/frontend/node_modules/@radix-ui/react-use-effect-event/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-slider/dist,172032,6
./dashboard/frontend/node_modules/@radix-ui/react-visually-hidden/dist,24576,6
./dashboard/frontend/node_modules/@standard-schema/spec/dist,12288,4
./dashboard/frontend/node_modules/@standard-schema/utils/dist,16384,4
./dashboard/frontend/node_modules/@reduxjs/toolkit/dist,5382144,53
./dashboard/frontend/node_modules/@radix-ui/react-toggle/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-context-menu/dist,122880,6
./dashboard/frontend/node_modules/@radix-ui/react-toggle-group/dist,61440,6
./dashboard/frontend/node_modules/@radix-ui/number/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-id/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-one-time-password-field/dist,176128,6
./dashboard/frontend/node_modules/@radix-ui/react-primitive/dist,32768,6
./dashboard/frontend/node_modules/@radix-ui/react-label/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-separator/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-accordion/dist,102400,6
./dashboard/frontend/node_modules/@radix-ui/react-presence/dist,57344,6
./dashboard/frontend/node_modules/@radix-ui/react-password-toggle-field/dist,86016,6
./dashboard/frontend/node_modules/@radix-ui/react-use-escape-keydown/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-toast/dist,192512,6
./dashboard/frontend/node_modules/@radix-ui/react-menu/dist,258048,6
./dashboard/frontend/node_modules/@radix-ui/react-switch/dist,61440,6
./dashboard/frontend/node_modules/@radix-ui/react-popover/dist,102400,6
./dashboard/frontend/node_modules/@radix-ui/react-aspect-ratio/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-avatar/dist,49152,6
./dashboard/frontend/node_modules/@radix-ui/react-compose-refs/dist,24576,6
./dashboard/frontend/node_modules/@radix-ui/react-arrow/dist,24576,6
./dashboard/frontend/node_modules/@testing-library/user-event/dist,1396736,305
./dashboard/frontend/node_modules/@testing-library/react/dist,274432,17
./dashboard/frontend/node_modules/@testing-library/jest-dom/dist,155648,10
./dashboard/frontend/node_modules/@jridgewell/sourcemap-codec/dist,57344,4
./dashboard/frontend/node_modules/@jridgewell/trace-mapping/dist,61440,4
./dashboard/frontend/node_modules/@jridgewell/gen-mapping/dist,53248,8
./dashboard/frontend/node_modules/@jridgewell/resolve-uri/dist,61440,5
./dashboard/frontend/node_modules/@jridgewell/remapping/dist,24576,4
./dashboard/frontend/node_modules/@bramus/specificity/dist,696320,4
./dashboard/frontend/node_modules/@floating-ui/core/dist,233472,8
./dashboard/frontend/node_modules/@floating-ui/utils/dist,73728,12
./dashboard/frontend/node_modules/@floating-ui/react-dom/dist,73728,6
./dashboard/frontend/node_modules/@floating-ui/dom/dist,184320,8
./dashboard/frontend/node_modules/@testing-library/dom/dist,2379776,34
./dashboard/frontend/node_modules/@dnd-kit/core/dist,1482752,137
./dashboard/frontend/node_modules/@dnd-kit/utilities/dist,221184,40
./dashboard/frontend/node_modules/@dnd-kit/accessibility/dist,61440,15
./dashboard/frontend/node_modules/@dnd-kit/sortable/dist,315392,36
./dashboard/frontend/node_modules/jsdom/node_modules/lru-cache/dist,2961408,86
./dashboard/frontend/node_modules/recharts/node_modules/immer/dist,618496,13
./dashboard/frontend/node_modules/@eslint-community/eslint-utils/node_modules/eslint-visitor-keys/dist,20480,4
