path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
.tmp/runs/ai_creators_20260618_155213,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_155215,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_155217,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_155218,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_155220,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_155222,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_155642,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_155644,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_155646,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_155648,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_155650,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_155652,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_155654,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_155656,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_155658,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_155700,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_160155,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_160156,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_160158,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_160200,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_160203,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_160206,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_160208,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_160211,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_160214,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_160215,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_160659,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_160701,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_160703,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_160705,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_160707,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_160711,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_160713,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_160716,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_160718,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_160719,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_180320,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_180322,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_180324,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_180326,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_180327,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_180330,3,1,653,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_180332,3,1,654,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_180334,3,1,659,34,2026-06-18,35
.tmp/runs/ai_creators_20260618_180335,3,1,581,29,2026-06-18,35
.tmp/runs/ai_creators_20260618_180337,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_180801,3,1,516,25,2026-06-18,35
.tmp/runs/ai_creators_20260618_180803,3,1,545,27,2026-06-18,35
.tmp/runs/ai_creators_20260618_180806,3,1,577,30,2026-06-18,35
.tmp/runs/ai_creators_20260618_180808,3,1,607,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_180810,3,1,603,31,2026-06-18,35
.tmp/runs/ai_creators_20260618_180812,3,1,653,34,2026-06-18,35
